id	msn_id	msn_seq	msn_ref	msn_name	platform_type	platform_name	inst_configuration	event_name	datetime	n_stages	n_legs	n_wpts	wpt	stage_i	stage_type	stage_dirn	leg_i	leg_length	wpt_i	wpt_type	colour	shape	depth_option	dfs	hfb	depth_water	depth_vehicle	east	north	zone	lat	lon	speed_kn	dir_rads	dir_degs	dist_m	time_mins	power	ch_distance	ch_time_secs	ch_power	dive_angle	wpt_radius	is_parking	park_radius	park_time	is_surface	is_usbl	is_cam1	is_strobe	is_cam2	is_sidescan	is_multibeam
9ed4745a-56ed-4b5a-8225-4c63909d55da	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	1	1	VCT50	0	0	0	0	Start	Yellow	Square	D	0	0	-9.11	0	387474.98798521	5720668.73176793	55	-38.65540802748	145.70678496396	3	0	0	0	0	0	0	0	0	25	5	False	15	1000	True	True	False	False	False	False	False
ba5054af-a106-4963-8d4d-94af1bcbd804	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	2	1	VCT50	0	0	0	0	Dive top	Yellow	Square	D	0	0	-9.08	0	387470.488964124	5720688.21916922	55	-38.6552318824176	145.70673642779	3	6.05629250442032	347	19.9999999997602	0.215982907974004	0	19.9999999997602	12.9589744784403	0	25	5	False	15	1000	True	True	False	False	False	False	False
7a87abd7-a626-4e32-8f94-9fb3ba1013a8	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	3	1	VCT50	0	0	0	0	Dive bottom	Orange	Circle	H	0	2.8	-9.06	-6.26	387502.399510543	5720695.58629935	55	-38.6551695611936	145.707104271513	3	1.34390352403563	77	32.7499248726408	0.353671200500397	0	52.7499248724009	34.1792465084641	0	25	5	False	15	1000	False	True	False	False	False	False	False
7faba243-0d1d-49b7-95a5-dbfaf2e7e39c	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	4	1	VCT50	0	0	0	0	Dive turn	Cyan	Circle	H	0	2.8	-9.33	-6.53	387512.143211191	5720697.8358099	55	-38.6551505315357	145.707216590343	2	1.34390352403563	77	9.99999999998697	0.161987180982235	0	62.7499248723879	43.8984773673982	0	25	5	False	15	1000	False	True	False	False	False	False	False
ba84d167-bf9c-4407-805b-4913f3fbf9e5	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	5	1	VCT50	0	1	50	1	Leg start turn	Cyan	Circle	H	0	2.8	-9.83	-7.03	387509.893700648	5720707.57951054	55	-38.6550624590853	145.707192321777	2	6.05629250442032	347	9.99999999987353	0.161987180980397	0	72.7499248722614	53.617708226222	0	25	5	False	15	1000	False	True	True	True	False	False	False
a2f259b8-ad9b-43be-8d37-eaac6a158f3f	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	6	1	VCT50	0	1	50	2	Leg start	Cyan	Circle	H	0	1.8	-9.65	-7.85	387500.15	5720705.33	55	-38.6550814887225	145.707080003079	2	4.48549617762543	257	9.99999999998697	0.161987180982235	0	82.7499248722484	63.3369390851561	0	25	5	False	15	1000	False	True	True	True	False	False	False
87ef994c-06b2-45b8-aa2c-a3431ce753ef	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	7	1	VCT50	0	1	50	3	Leg end	Green	Circle	H	0	1.8	-9.93	-8.13	387451.431496761	5720694.08244728	55	-38.6551766352738	145.70651840874	2	4.48549617762543	257	49.9999999999915	0.809935904912092	0	132.74992487224	111.933093379882	0	25	5	False	15	1000	False	True	True	True	False	False	False
f0990c40-d2d9-4389-ba48-7a0f4acade62	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	8	1	VCT50	0	1	50	4	Leg end turn	Cyan	Circle	H	0	2.8	-9.99	-7.19	387440.338089787	5720697.67915713	55	-38.6551428206972	145.706391529146	2	5.02591567792284	287.96375653361	11.6619037897466	0.188907891978955	0	144.411828661987	123.267566898619	0	25	5	False	15	1000	False	True	True	True	False	False	False
d3ee441f-a8e1-4ed4-8581-67f8034f01ca	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	9	1	VCT50	0	2	50	1	Leg start turn	Cyan	Circle	H	0	2.8	-8.92	-6.12	387442.58760033	5720687.93545648	55	-38.6552308932961	145.706415796751	2	2.91469985082943	166.999999999937	9.99999999987353	0.161987180980397	0	154.41182866186	132.986797757443	0	25	5	False	15	1000	False	True	True	True	False	False	False
3746952c-843d-4bc6-adcb-16b85d42962c	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	10	1	VCT50	0	2	50	2	Leg start	Cyan	Circle	H	0	1.8	-9.95	-8.15	387452.331300978	5720690.18496702	55	-38.6552118643045	145.706528115842	2	1.34390352403563	77	9.99999999998697	0.161987180982235	0	164.411828661847	142.706028616377	0	25	5	False	15	1000	False	True	True	True	False	False	False
ee7e83ce-4903-48c9-b309-6fb253c63705	016fb099-5ff8-416d-a468-243b4d4c45a1	161116	3019	vic-bunurong-vct50-3019-Garoke Reef	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	11	1	VCT50	0	2	50	3	Leg end	Green	Circle	H	0	1.8	-9.12	-7.32	387501.049804217	5720701.43251974	55	-38.6551167177116	145.707089710446	2	1.34390352403563	77	49.9999999999915	0.809935904912092	0	214.411828661839	191.302182911102	0	25	5	False	15	1000	False	True	True	True	False	False	False
