id	msn_id	msn_seq	msn_ref	msn_name	platform_type	platform_name	inst_configuration	event_name	datetime	n_stages	n_legs	n_wpts	wpt	stage_i	stage_type	stage_dirn	leg_i	leg_length	wpt_i	wpt_type	colour	shape	depth_option	dfs	hfb	depth_water	depth_vehicle	east	north	zone	lat	lon	speed_kn	dir_rads	dir_degs	dist_m	time_mins	power	ch_distance	ch_time_secs	ch_power	dive_angle	wpt_radius	is_parking	park_radius	park_time	is_surface	is_usbl	is_cam1	is_strobe	is_cam2	is_sidescan	is_multibeam
fb525c1a-0fbc-4c26-a3fc-351f83fb389b	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	1	1	VCT50	0	0	0	0	Start	Yellow	Square	D	0	0	-6.68	0	380425.837398485	5718279.68790925	55	-38.6760080015425	145.625380745282	3	0	0	0	0	0	0	0	0	25	5	False	15	1000	True	True	False	False	False	False	False
af2b375f-edec-4d53-9dea-20e704e6b365	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	2	1	VCT50	0	0	0	0	Dive top	Yellow	Square	D	0	0	-6.8	0	380422.364434932	5718299.38406431	55	-38.6758300845872	145.625344225502	3	6.10865238198015	350	20.0000000001267	0.215982907977962	0	20.0000000001267	12.9589744786777	0	25	5	False	15	1000	True	True	False	False	False	False	False
72533bc6-80d7-4574-bd9c-102aeca5b239	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	3	1	VCT50	0	0	0	0	Dive bottom	Orange	Circle	H	0	2.8	-7.32	-4.52	380447.986481777	5718303.90192247	55	-38.6757928432677	145.62563947445	3	1.39626340159546	80	26.0173082170867	0.280964694322486	0	46.0173082172134	29.8168561380269	0	25	5	False	15	1000	False	True	False	False	False	False	False
8a86cd45-2472-4b9d-90e3-8fc58a9ad2a5	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	4	1	VCT50	0	0	0	0	Dive turn	Cyan	Circle	H	0	2.8	-7.5	-4.7	380457.834559307	5718305.63840425	55	-38.6757785290123	145.625752956117	2	1.39626340159546	80	9.99999999995067	0.161987180981647	0	56.0173082171641	39.5360869969257	0	25	5	False	15	1000	False	True	False	False	False	False	False
2b15663b-49ed-4c4f-bfc1-b5ef8d569238	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	5	1	VCT50	0	1	50	1	Leg start turn	Cyan	Circle	H	0	2.8	-8.08	-5.28	380456.09807753	5718315.48648178	55	-38.6756895705836	145.625734695793	2	6.10865238198015	350	9.99999999960624	0.161987180976067	0	66.0173082167703	49.2553178554898	0	25	5	False	15	1000	False	True	True	True	False	False	False
6ad09fa6-436c-4ecc-8b57-07e5e39d7601	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	6	1	VCT50	0	1	50	2	Leg start	Cyan	Circle	H	0	1.8	-7.29	-5.49	380446.25	5718313.75	55	-38.6757038848241	145.625621214264	2	4.53785605518526	260	9.99999999995067	0.161987180981647	0	76.017308216721	58.9745487143886	0	25	5	False	15	1000	False	True	True	True	False	False	False
7451fa51-7688-4a4b-bf60-1de789cd4057	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	7	1	VCT50	0	1	50	3	Leg end	Green	Circle	H	0	1.8	-6.77	-4.97	380397.009612349	5718305.06759112	55	-38.6757754543612	145.625053805987	2	4.53785605518526	260	50.0000000000516	0.809935904913065	0	126.017308216773	107.570703009172	0	25	5	False	15	1000	False	True	True	True	False	False	False
268b7c47-2741-4d74-b426-2c904d52df67	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	8	1	VCT50	0	1	50	4	Leg end turn	Cyan	Circle	H	0	2.8	-6.02	-3.22	380386.119645753	5718309.23995586	55	-38.6757363928138	145.624929368611	2	5.07827555543	290.963756530593	11.6619037895756	0.188907891976185	0	137.679212006348	118.905176527744	0	25	5	False	15	1000	False	True	True	True	False	False	False
7ff17a07-e47f-4b93-a47d-b1edef114394	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	9	1	VCT50	0	2	50	1	Leg start turn	Cyan	Circle	H	0	2.8	-6.36	-3.56	380387.85612753	5718299.39187833	55	-38.6758253513494	145.624947627944	2	2.96705972838268	169.99999999956	9.99999999960624	0.161987180976067	0	147.679212005954	128.624407386308	0	25	5	False	15	1000	False	True	True	True	False	False	False
e6a06cec-4f2e-4bae-b7d0-14a1779ef527	7cecdc3b-1682-40f6-bd1c-e0ee1e480364	161112	3022	vic-bunurong-vct50-3022-Boat Ramp East B	AUV Iver	Harold Holt	Fish stereo video|Benthic stereo video|Strobes			4	12	77	10	1	VCT50	0	2	50	2	Leg start	Cyan	Circle	H	0	1.8	-7.26	-5.46	380397.70420506	5718301.1283601	55	-38.6758110377691	145.625061109781	2	1.39626340159546	80	9.99999999995067	0.161987180981647	0	157.679212005905	138.343638245206	0	25	5	False	15	1000	False	True	True	True	False	False	False
